Gene ID	Symbol	Name	Type	# SSM Affected Cases in Cohort	# SSM Affected Cases Across the GDC	# CNV Gain	# CNV Loss	# Mutations	Annotations	Survival
ENSG00000154415	PPP1R3A	protein phosphatase 1 regulatory subunit 3A	protein_coding	16 / 969 (1.65%)	569 / 16,405	236 / 1,067 (22.12%)	121 / 1,067 (11.34%)	0		add to survival plot
ENSG00000177675	CD163L1	CD163 molecule like 1	protein_coding	16 / 969 (1.65%)	499 / 16,405	214 / 1,067 (20.06%)	117 / 1,067 (10.97%)	0		add to survival plot
ENSG00000078295	ADCY2	adenylate cyclase 2	protein_coding	16 / 969 (1.65%)	505 / 16,405	334 / 1,067 (31.30%)	63 / 1,067 (5.90%)	0		add to survival plot
ENSG00000154310	TNIK	TRAF2 and NCK interacting kinase	protein_coding	16 / 969 (1.65%)	401 / 16,405	305 / 1,067 (28.58%)	56 / 1,067 (5.25%)	0		add to survival plot
ENSG00000082293	COL19A1	collagen type XIX alpha 1 chain	protein_coding	16 / 969 (1.65%)	474 / 16,405	182 / 1,067 (17.06%)	236 / 1,067 (22.12%)	0		add to survival plot
ENSG00000143552	NUP210L	nucleoporin 210 like	protein_coding	16 / 969 (1.65%)	424 / 16,405	739 / 1,067 (69.26%)	12 / 1,067 (1.12%)	0		add to survival plot
ENSG00000118007	STAG1	stromal antigen 1	protein_coding	16 / 969 (1.65%)	297 / 16,405	235 / 1,067 (22.02%)	84 / 1,067 (7.87%)	0	Cancer Gene Census	add to survival plot
ENSG00000175073	VCPIP1	valosin containing protein interacting protein 1	protein_coding	16 / 969 (1.65%)	243 / 16,405	521 / 1,067 (48.83%)	49 / 1,067 (4.59%)	0		add to survival plot
ENSG00000147488	ST18	ST18 C2H2C-type zinc finger transcription factor	protein_coding	16 / 969 (1.65%)	449 / 16,405	475 / 1,067 (44.52%)	68 / 1,067 (6.37%)	0		add to survival plot
ENSG00000204842	ATXN2	ataxin 2	protein_coding	16 / 969 (1.65%)	252 / 16,405	157 / 1,067 (14.71%)	153 / 1,067 (14.34%)	17		add to survival plot
ENSG00000154822	PLCL2	phospholipase C like 2	protein_coding	16 / 969 (1.65%)	287 / 16,405	173 / 1,067 (16.21%)	147 / 1,067 (13.78%)	0		add to survival plot
ENSG00000109670	FBXW7	F-box and WD repeat domain containing 7	protein_coding	16 / 969 (1.65%)	657 / 16,405	101 / 1,067 (9.47%)	248 / 1,067 (23.24%)	0	Cancer Gene Census	add to survival plot
ENSG00000134376	CRB1	crumbs cell polarity complex component 1	protein_coding	16 / 969 (1.65%)	660 / 16,405	764 / 1,067 (71.60%)	16 / 1,067 (1.50%)	0		add to survival plot
ENSG00000145734	BDP1	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB	protein_coding	16 / 969 (1.65%)	403 / 16,405	147 / 1,067 (13.78%)	230 / 1,067 (21.56%)	0		add to survival plot
ENSG00000140678	ITGAX	integrin subunit alpha X	protein_coding	16 / 969 (1.65%)	415 / 16,405	498 / 1,067 (46.67%)	38 / 1,067 (3.56%)	0		add to survival plot
ENSG00000101191	DIDO1	death inducer-obliterator 1	protein_coding	16 / 969 (1.65%)	615 / 16,405	478 / 1,067 (44.80%)	35 / 1,067 (3.28%)	0		add to survival plot
ENSG00000112182	BACH2	BTB domain and CNC homolog 2	protein_coding	16 / 969 (1.65%)	295 / 16,405	156 / 1,067 (14.62%)	307 / 1,067 (28.77%)	0		add to survival plot
ENSG00000169855	ROBO1	roundabout guidance receptor 1	protein_coding	16 / 969 (1.65%)	546 / 16,405	133 / 1,067 (12.46%)	217 / 1,067 (20.34%)	0		add to survival plot
ENSG00000174469	CNTNAP2	contactin associated protein 2	protein_coding	16 / 969 (1.65%)	812 / 16,405	245 / 1,067 (22.96%)	134 / 1,067 (12.56%)	0	Cancer Gene Census	add to survival plot
ENSG00000116128	BCL9	BCL9 transcription coactivator	protein_coding	16 / 969 (1.65%)	338 / 16,405	714 / 1,067 (66.92%)	22 / 1,067 (2.06%)	0	Cancer Gene Census	add to survival plot
ENSG00000144821	MYH15	myosin heavy chain 15	protein_coding	16 / 969 (1.65%)	535 / 16,405	214 / 1,067 (20.06%)	87 / 1,067 (8.15%)	0		add to survival plot
ENSG00000171815	PCDHB1	protocadherin beta 1	protein_coding	16 / 969 (1.65%)	359 / 16,405	180 / 1,067 (16.87%)	172 / 1,067 (16.12%)	0		add to survival plot
ENSG00000112769	LAMA4	laminin subunit alpha 4	protein_coding	16 / 969 (1.65%)	492 / 16,405	172 / 1,067 (16.12%)	290 / 1,067 (27.18%)	0		add to survival plot
ENSG00000067369	TP53BP1	tumor protein p53 binding protein 1	protein_coding	16 / 969 (1.65%)	359 / 16,405	54 / 1,067 (5.06%)	282 / 1,067 (26.43%)	0		add to survival plot
ENSG00000095319	NUP188	nucleoporin 188	protein_coding	16 / 969 (1.65%)	268 / 16,405	150 / 1,067 (14.06%)	168 / 1,067 (15.75%)	0		add to survival plot
ENSG00000188153	COL4A5	collagen type IV alpha 5 chain	protein_coding	16 / 969 (1.65%)	506 / 16,405	0 / 1,067 (0.00%)	0 / 1,067 (0.00%)	0		add to survival plot
ENSG00000066032	CTNNA2	catenin alpha 2	protein_coding	16 / 969 (1.65%)	665 / 16,405	182 / 1,067 (17.06%)	112 / 1,067 (10.50%)	0	Cancer Gene Census	add to survival plot
ENSG00000175054	ATR	ATR serine/threonine kinase	protein_coding	16 / 969 (1.65%)	495 / 16,405	254 / 1,067 (23.81%)	76 / 1,067 (7.12%)	0	Cancer Gene Census	add to survival plot
ENSG00000150991	UBC	ubiquitin C	protein_coding	16 / 969 (1.65%)	169 / 16,405	165 / 1,067 (15.46%)	159 / 1,067 (14.90%)	13		add to survival plot
ENSG00000143199	ADCY10	adenylate cyclase 10	protein_coding	16 / 969 (1.65%)	409 / 16,405	744 / 1,067 (69.73%)	18 / 1,067 (1.69%)	0		add to survival plot
ENSG00000198691	ABCA4	ATP binding cassette subfamily A member 4	protein_coding	16 / 969 (1.65%)	512 / 16,405	130 / 1,067 (12.18%)	273 / 1,067 (25.59%)	0		add to survival plot
ENSG00000157388	CACNA1D	calcium voltage-gated channel subunit alpha1 D	protein_coding	16 / 969 (1.65%)	508 / 16,405	84 / 1,067 (7.87%)	277 / 1,067 (25.96%)	17	Cancer Gene Census	add to survival plot
ENSG00000136861	CDK5RAP2	CDK5 regulatory subunit associated protein 2	protein_coding	16 / 969 (1.65%)	357 / 16,405	149 / 1,067 (13.96%)	186 / 1,067 (17.43%)	0		add to survival plot
ENSG00000170776	AKAP13	A-kinase anchoring protein 13	protein_coding	16 / 969 (1.65%)	483 / 16,405	157 / 1,067 (14.71%)	202 / 1,067 (18.93%)	0		add to survival plot
ENSG00000149256	TENM4	teneurin transmembrane protein 4	protein_coding	16 / 969 (1.65%)	634 / 16,405	223 / 1,067 (20.90%)	211 / 1,067 (19.78%)	0		add to survival plot
ENSG00000188559	RALGAPA2	Ral GTPase activating protein catalytic subunit alpha 2	protein_coding	16 / 969 (1.65%)	375 / 16,405	345 / 1,067 (32.33%)	85 / 1,067 (7.97%)	0		add to survival plot
ENSG00000147642	SYBU	syntabulin	protein_coding	16 / 969 (1.65%)	235 / 16,405	608 / 1,067 (56.98%)	22 / 1,067 (2.06%)	16		add to survival plot
ENSG00000091106	NLRC4	NLR family CARD domain containing 4	protein_coding	16 / 969 (1.65%)	283 / 16,405	177 / 1,067 (16.59%)	119 / 1,067 (11.15%)	0		add to survival plot
ENSG00000080345	RIF1	replication timing regulatory factor 1	protein_coding	16 / 969 (1.65%)	402 / 16,405	107 / 1,067 (10.03%)	167 / 1,067 (15.65%)	0		add to survival plot
ENSG00000135315	CEP162	centrosomal protein 162	protein_coding	16 / 969 (1.65%)	274 / 16,405	157 / 1,067 (14.71%)	298 / 1,067 (27.93%)	0		add to survival plot
ENSG00000006283	CACNA1G	calcium voltage-gated channel subunit alpha1 G	protein_coding	15 / 969 (1.55%)	556 / 16,405	345 / 1,067 (32.33%)	151 / 1,067 (14.15%)	22		add to survival plot
ENSG00000213401	MAGEA12	MAGE family member A12	protein_coding	15 / 969 (1.55%)	192 / 16,405	0 / 1,067 (0.00%)	0 / 1,067 (0.00%)	0		add to survival plot
ENSG00000171094	ALK	ALK receptor tyrosine kinase	protein_coding	15 / 969 (1.55%)	491 / 16,405	172 / 1,067 (16.12%)	121 / 1,067 (11.34%)	0	Cancer Gene Census	add to survival plot
ENSG00000156313	RPGR	retinitis pigmentosa GTPase regulator	protein_coding	15 / 969 (1.55%)	248 / 16,405	0 / 1,067 (0.00%)	0 / 1,067 (0.00%)	15		add to survival plot
ENSG00000152527	PLEKHH2	pleckstrin homology, MyTH4 and FERM domain containing H2	protein_coding	15 / 969 (1.55%)	328 / 16,405	167 / 1,067 (15.65%)	121 / 1,067 (11.34%)	0		add to survival plot
ENSG00000120156	TEK	TEK receptor tyrosine kinase	protein_coding	15 / 969 (1.55%)	317 / 16,405	170 / 1,067 (15.93%)	235 / 1,067 (22.02%)	0		add to survival plot
ENSG00000008869	HEATR5B	HEAT repeat containing 5B	protein_coding	15 / 969 (1.55%)	372 / 16,405	170 / 1,067 (15.93%)	117 / 1,067 (10.97%)	0		add to survival plot
ENSG00000076555	ACACB	acetyl-CoA carboxylase beta	protein_coding	15 / 969 (1.55%)	564 / 16,405	160 / 1,067 (15.00%)	145 / 1,067 (13.59%)	0		add to survival plot
ENSG00000168280	KIF5C	kinesin family member 5C	protein_coding	15 / 969 (1.55%)	283 / 16,405	103 / 1,067 (9.65%)	169 / 1,067 (15.84%)	16		add to survival plot
ENSG00000198198	SZT2	SZT2 subunit of KICSTOR complex	protein_coding	15 / 969 (1.55%)	556 / 16,405	163 / 1,067 (15.28%)	217 / 1,067 (20.34%)	0		add to survival plot
ENSG00000114487	MORC1	MORC family CW-type zinc finger 1	protein_coding	15 / 969 (1.55%)	465 / 16,405	212 / 1,067 (19.87%)	87 / 1,067 (8.15%)	0		add to survival plot
ENSG00000077063	CTTNBP2	cortactin binding protein 2	protein_coding	15 / 969 (1.55%)	408 / 16,405	245 / 1,067 (22.96%)	118 / 1,067 (11.06%)	0		add to survival plot
ENSG00000176542	USF3	upstream transcription factor family member 3	protein_coding	15 / 969 (1.55%)	430 / 16,405	219 / 1,067 (20.52%)	83 / 1,067 (7.78%)	0		add to survival plot
ENSG00000171189	GRIK1	glutamate ionotropic receptor kainate type subunit 1	protein_coding	15 / 969 (1.55%)	330 / 16,405	198 / 1,067 (18.56%)	155 / 1,067 (14.53%)	0		add to survival plot
ENSG00000008300	CELSR3	cadherin EGF LAG seven-pass G-type receptor 3	protein_coding	15 / 969 (1.55%)	555 / 16,405	88 / 1,067 (8.25%)	275 / 1,067 (25.77%)	0		add to survival plot
ENSG00000198752	CDC42BPB	CDC42 binding protein kinase beta	protein_coding	15 / 969 (1.55%)	342 / 16,405	167 / 1,067 (15.65%)	213 / 1,067 (19.96%)	0		add to survival plot
ENSG00000167972	ABCA3	ATP binding cassette subfamily A member 3	protein_coding	15 / 969 (1.55%)	396 / 16,405	523 / 1,067 (49.02%)	50 / 1,067 (4.69%)	0		add to survival plot
ENSG00000136011	STAB2	stabilin 2	protein_coding	15 / 969 (1.55%)	670 / 16,405	153 / 1,067 (14.34%)	151 / 1,067 (14.15%)	0		add to survival plot
ENSG00000073803	MAP3K13	mitogen-activated protein kinase kinase kinase 13	protein_coding	15 / 969 (1.55%)	250 / 16,405	295 / 1,067 (27.65%)	61 / 1,067 (5.72%)	0	Cancer Gene Census	add to survival plot
ENSG00000198670	LPA	lipoprotein(a)	protein_coding	15 / 969 (1.55%)	557 / 16,405	131 / 1,067 (12.28%)	305 / 1,067 (28.58%)	0		add to survival plot
ENSG00000135298	ADGRB3	adhesion G protein-coupled receptor B3	protein_coding	15 / 969 (1.55%)	742 / 16,405	193 / 1,067 (18.09%)	230 / 1,067 (21.56%)	0		add to survival plot
ENSG00000154928	EPHB1	EPH receptor B1	protein_coding	15 / 969 (1.55%)	460 / 16,405	233 / 1,067 (21.84%)	82 / 1,067 (7.69%)	0		add to survival plot
ENSG00000066933	MYO9A	myosin IXA	protein_coding	15 / 969 (1.55%)	454 / 16,405	124 / 1,067 (11.62%)	222 / 1,067 (20.81%)	0		add to survival plot
ENSG00000178568	ERBB4	erb-b2 receptor tyrosine kinase 4	protein_coding	15 / 969 (1.55%)	672 / 16,405	120 / 1,067 (11.25%)	180 / 1,067 (16.87%)	0	Cancer Gene Census	add to survival plot
ENSG00000134775	FHOD3	formin homology 2 domain containing 3	protein_coding	15 / 969 (1.55%)	427 / 16,405	176 / 1,067 (16.49%)	239 / 1,067 (22.40%)	0		add to survival plot
ENSG00000138669	PRKG2	protein kinase cGMP-dependent 2	protein_coding	15 / 969 (1.55%)	247 / 16,405	113 / 1,067 (10.59%)	218 / 1,067 (20.43%)	0		add to survival plot
ENSG00000143799	PARP1	poly(ADP-ribose) polymerase 1	protein_coding	15 / 969 (1.55%)	241 / 16,405	753 / 1,067 (70.57%)	18 / 1,067 (1.69%)	12		add to survival plot
ENSG00000162670	BRINP3	BMP/retinoic acid inducible neural specific 3	protein_coding	15 / 969 (1.55%)	625 / 16,405	763 / 1,067 (71.51%)	18 / 1,067 (1.69%)	0		add to survival plot
ENSG00000142949	PTPRF	protein tyrosine phosphatase receptor type F	protein_coding	15 / 969 (1.55%)	424 / 16,405	162 / 1,067 (15.18%)	216 / 1,067 (20.24%)	0		add to survival plot
ENSG00000044090	CUL7	cullin 7	protein_coding	15 / 969 (1.55%)	280 / 16,405	234 / 1,067 (21.93%)	120 / 1,067 (11.25%)	0		add to survival plot
ENSG00000196576	PLXNB2	plexin B2	protein_coding	15 / 969 (1.55%)	489 / 16,405	127 / 1,067 (11.90%)	398 / 1,067 (37.30%)	0		add to survival plot
ENSG00000111647	UHRF1BP1L	UHRF1 binding protein 1 like	protein_coding	15 / 969 (1.55%)	318 / 16,405	168 / 1,067 (15.75%)	140 / 1,067 (13.12%)	0		add to survival plot
ENSG00000102313	ITIH6	inter-alpha-trypsin inhibitor heavy chain family member 6	protein_coding	15 / 969 (1.55%)	397 / 16,405	0 / 1,067 (0.00%)	0 / 1,067 (0.00%)	0		add to survival plot
ENSG00000078687	TNRC6C	trinucleotide repeat containing adaptor 6C	protein_coding	15 / 969 (1.55%)	309 / 16,405	392 / 1,067 (36.74%)	117 / 1,067 (10.97%)	0		add to survival plot
ENSG00000058335	RASGRF1	Ras protein specific guanine nucleotide releasing factor 1	protein_coding	15 / 969 (1.55%)	384 / 16,405	134 / 1,067 (12.56%)	211 / 1,067 (19.78%)	0		add to survival plot
ENSG00000104447	TRPS1	transcriptional repressor GATA binding 1	protein_coding	15 / 969 (1.55%)	584 / 16,405	618 / 1,067 (57.92%)	19 / 1,067 (1.78%)	0		add to survival plot
ENSG00000146648	EGFR	epidermal growth factor receptor	protein_coding	15 / 969 (1.55%)	645 / 16,405	305 / 1,067 (28.58%)	57 / 1,067 (5.34%)	0	Cancer Gene Census	add to survival plot
ENSG00000173706	HEG1	heart development protein with EGF like domains 1	protein_coding	15 / 969 (1.55%)	262 / 16,405	190 / 1,067 (17.81%)	100 / 1,067 (9.37%)	0		add to survival plot
ENSG00000101974	ATP11C	ATPase phospholipid transporting 11C	protein_coding	15 / 969 (1.55%)	320 / 16,405	0 / 1,067 (0.00%)	0 / 1,067 (0.00%)	0		add to survival plot
ENSG00000075035	WSCD2	WSC domain containing 2	protein_coding	15 / 969 (1.55%)	296 / 16,405	161 / 1,067 (15.09%)	147 / 1,067 (13.78%)	0		add to survival plot
ENSG00000024048	UBR2	ubiquitin protein ligase E3 component n-recognin 2	protein_coding	15 / 969 (1.55%)	280 / 16,405	231 / 1,067 (21.65%)	123 / 1,067 (11.53%)	0		add to survival plot
ENSG00000069122	ADGRF5	adhesion G protein-coupled receptor F5	protein_coding	15 / 969 (1.55%)	352 / 16,405	225 / 1,067 (21.09%)	134 / 1,067 (12.56%)	0		add to survival plot
ENSG00000170456	DENND5B	DENN domain containing 5B	protein_coding	15 / 969 (1.55%)	262 / 16,405	245 / 1,067 (22.96%)	67 / 1,067 (6.28%)	0		add to survival plot
ENSG00000125755	SYMPK	symplekin	protein_coding	15 / 969 (1.55%)	284 / 16,405	233 / 1,067 (21.84%)	113 / 1,067 (10.59%)	0		add to survival plot
ENSG00000124203	ZNF831	zinc finger protein 831	protein_coding	15 / 969 (1.55%)	741 / 16,405	479 / 1,067 (44.89%)	32 / 1,067 (3.00%)	0		add to survival plot
ENSG00000077044	DGKD	diacylglycerol kinase delta	protein_coding	15 / 969 (1.55%)	266 / 16,405	85 / 1,067 (7.97%)	214 / 1,067 (20.06%)	0		add to survival plot
ENSG00000167634	NLRP7	NLR family pyrin domain containing 7	protein_coding	15 / 969 (1.55%)	469 / 16,405	272 / 1,067 (25.49%)	77 / 1,067 (7.22%)	0		add to survival plot
ENSG00000090905	TNRC6A	trinucleotide repeat containing adaptor 6A	protein_coding	15 / 969 (1.55%)	383 / 16,405	485 / 1,067 (45.45%)	44 / 1,067 (4.12%)	0		add to survival plot
ENSG00000154162	CDH12	cadherin 12	protein_coding	15 / 969 (1.55%)	516 / 16,405	354 / 1,067 (33.18%)	65 / 1,067 (6.09%)	0		add to survival plot
ENSG00000134115	CNTN6	contactin 6	protein_coding	15 / 969 (1.55%)	502 / 16,405	193 / 1,067 (18.09%)	145 / 1,067 (13.59%)	0		add to survival plot
ENSG00000159640	ACE	angiotensin I converting enzyme	protein_coding	15 / 969 (1.55%)	352 / 16,405	400 / 1,067 (37.49%)	94 / 1,067 (8.81%)	0		add to survival plot
ENSG00000188352	FOCAD	focadhesin	protein_coding	15 / 969 (1.55%)	296 / 16,405	163 / 1,067 (15.28%)	245 / 1,067 (22.96%)	0		add to survival plot
ENSG00000177409	SAMD9L	sterile alpha motif domain containing 9 like	protein_coding	15 / 969 (1.55%)	502 / 16,405	255 / 1,067 (23.90%)	102 / 1,067 (9.56%)	0		add to survival plot
ENSG00000079841	RIMS1	regulating synaptic membrane exocytosis 1	protein_coding	15 / 969 (1.55%)	612 / 16,405	174 / 1,067 (16.31%)	250 / 1,067 (23.43%)	14		add to survival plot
ENSG00000188039	NWD1	NACHT and WD repeat domain containing 1	protein_coding	15 / 969 (1.55%)	438 / 16,405	225 / 1,067 (21.09%)	113 / 1,067 (10.59%)	0		add to survival plot
ENSG00000162104	ADCY9	adenylate cyclase 9	protein_coding	15 / 969 (1.55%)	300 / 16,405	508 / 1,067 (47.61%)	54 / 1,067 (5.06%)	0		add to survival plot
ENSG00000073734	ABCB11	ATP binding cassette subfamily B member 11	protein_coding	15 / 969 (1.55%)	350 / 16,405	125 / 1,067 (11.72%)	152 / 1,067 (14.25%)	0		add to survival plot
ENSG00000116991	SIPA1L2	signal induced proliferation associated 1 like 2	protein_coding	15 / 969 (1.55%)	460 / 16,405	753 / 1,067 (70.57%)	24 / 1,067 (2.25%)	0		add to survival plot
ENSG00000172572	PDE3A	phosphodiesterase 3A	protein_coding	15 / 969 (1.55%)	469 / 16,405	219 / 1,067 (20.52%)	105 / 1,067 (9.84%)	0		add to survival plot
ENSG00000132849	PATJ	PATJ crumbs cell polarity complex component	protein_coding	15 / 969 (1.55%)	399 / 16,405	167 / 1,067 (15.65%)	222 / 1,067 (20.81%)	0		add to survival plot
ENSG00000079102	RUNX1T1	RUNX1 partner transcriptional co-repressor 1	protein_coding	15 / 969 (1.55%)	513 / 16,405	594 / 1,067 (55.67%)	24 / 1,067 (2.25%)	15	Cancer Gene Census	add to survival plot
ENSG00000179270	PCARE	photoreceptor cilium actin regulator	protein_coding	15 / 969 (1.55%)	367 / 16,405	176 / 1,067 (16.49%)	121 / 1,067 (11.34%)	0		add to survival plot
ENSG00000138411	HECW2	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2	protein_coding	15 / 969 (1.55%)	473 / 16,405	133 / 1,067 (12.46%)	155 / 1,067 (14.53%)	0		add to survival plot
ENSG00000051341	POLQ	DNA polymerase theta	protein_coding	15 / 969 (1.55%)	528 / 16,405	192 / 1,067 (17.99%)	101 / 1,067 (9.47%)	0	Cancer Gene Census	add to survival plot
ENSG00000133640	LRRIQ1	leucine rich repeats and IQ motif containing 1	protein_coding	15 / 969 (1.55%)	542 / 16,405	205 / 1,067 (19.21%)	118 / 1,067 (11.06%)	0		add to survival plot
ENSG00000075539	FRYL	FRY like transcription coactivator	protein_coding	15 / 969 (1.55%)	482 / 16,405	129 / 1,067 (12.09%)	196 / 1,067 (18.37%)	0		add to survival plot
ENSG00000101596	SMCHD1	structural maintenance of chromosomes flexible hinge domain containing 1	protein_coding	15 / 969 (1.55%)	338 / 16,405	164 / 1,067 (15.37%)	257 / 1,067 (24.09%)	0		add to survival plot
ENSG00000115155	OTOF	otoferlin	protein_coding	15 / 969 (1.55%)	539 / 16,405	169 / 1,067 (15.84%)	134 / 1,067 (12.56%)	0		add to survival plot
ENSG00000124215	CDH26	cadherin 26	protein_coding	15 / 969 (1.55%)	263 / 16,405	471 / 1,067 (44.14%)	39 / 1,067 (3.66%)	0		add to survival plot
ENSG00000075275	CELSR1	cadherin EGF LAG seven-pass G-type receptor 1	protein_coding	15 / 969 (1.55%)	605 / 16,405	125 / 1,067 (11.72%)	403 / 1,067 (37.77%)	0		add to survival plot
ENSG00000082898	XPO1	exportin 1	protein_coding	15 / 969 (1.55%)	196 / 16,405	195 / 1,067 (18.28%)	110 / 1,067 (10.31%)	18	Cancer Gene Census	add to survival plot
ENSG00000205726	ITSN1	intersectin 1	protein_coding	15 / 969 (1.55%)	375 / 16,405	219 / 1,067 (20.52%)	126 / 1,067 (11.81%)	0		add to survival plot
ENSG00000164694	FNDC1	fibronectin type III domain containing 1	protein_coding	15 / 969 (1.55%)	579 / 16,405	132 / 1,067 (12.37%)	302 / 1,067 (28.30%)	0		add to survival plot
ENSG00000115020	PIKFYVE	phosphoinositide kinase, FYVE-type zinc finger containing	protein_coding	15 / 969 (1.55%)	418 / 16,405	121 / 1,067 (11.34%)	177 / 1,067 (16.59%)	0		add to survival plot
ENSG00000185448	FAM47A	family with sequence similarity 47 member A	protein_coding	15 / 969 (1.55%)	575 / 16,405	0 / 1,067 (0.00%)	0 / 1,067 (0.00%)	0		add to survival plot
ENSG00000189079	ARID2	AT-rich interaction domain 2	protein_coding	15 / 969 (1.55%)	527 / 16,405	181 / 1,067 (16.96%)	91 / 1,067 (8.53%)	0	Cancer Gene Census	add to survival plot
ENSG00000244694	PTCHD4	patched domain containing 4	protein_coding	15 / 969 (1.55%)	347 / 16,405	227 / 1,067 (21.27%)	129 / 1,067 (12.09%)	0		add to survival plot
ENSG00000170325	PRDM10	PR/SET domain 10	protein_coding	15 / 969 (1.55%)	262 / 16,405	99 / 1,067 (9.28%)	420 / 1,067 (39.36%)	0		add to survival plot
ENSG00000183354	KIAA2026	KIAA2026	protein_coding	15 / 969 (1.55%)	335 / 16,405	160 / 1,067 (15.00%)	261 / 1,067 (24.46%)	0		add to survival plot
ENSG00000030066	NUP160	nucleoporin 160	protein_coding	15 / 969 (1.55%)	259 / 16,405	198 / 1,067 (18.56%)	127 / 1,067 (11.90%)	0		add to survival plot
ENSG00000069188	SDK2	sidekick cell adhesion molecule 2	protein_coding	15 / 969 (1.55%)	497 / 16,405	395 / 1,067 (37.02%)	115 / 1,067 (10.78%)	0		add to survival plot
ENSG00000171634	BPTF	bromodomain PHD finger transcription factor	protein_coding	15 / 969 (1.55%)	437 / 16,405	403 / 1,067 (37.77%)	88 / 1,067 (8.25%)	0		add to survival plot
ENSG00000036828	CASR	calcium sensing receptor	protein_coding	15 / 969 (1.55%)	444 / 16,405	191 / 1,067 (17.90%)	105 / 1,067 (9.84%)	0		add to survival plot
ENSG00000197299	BLM	BLM RecQ like helicase	protein_coding	15 / 969 (1.55%)	261 / 16,405	163 / 1,067 (15.28%)	187 / 1,067 (17.53%)	0	Cancer Gene Census	add to survival plot
ENSG00000198837	DENND4B	DENN domain containing 4B	protein_coding	15 / 969 (1.55%)	321 / 16,405	736 / 1,067 (68.98%)	13 / 1,067 (1.22%)	0		add to survival plot
ENSG00000170471	RALGAPB	Ral GTPase activating protein non-catalytic subunit beta	protein_coding	15 / 969 (1.55%)	328 / 16,405	394 / 1,067 (36.93%)	41 / 1,067 (3.84%)	0		add to survival plot
ENSG00000274072	AP000769.3	AP000769.3	sRNA	15 / 969 (1.55%)	428 / 16,405	0 / 1,067 (0.00%)	0 / 1,067 (0.00%)	0		add to survival plot
ENSG00000073910	FRY	FRY microtubule binding protein	protein_coding	15 / 969 (1.55%)	627 / 16,405	101 / 1,067 (9.47%)	333 / 1,067 (31.21%)	0		add to survival plot
ENSG00000151240	DIP2C	disco interacting protein 2 homolog C	protein_coding	15 / 969 (1.55%)	404 / 16,405	267 / 1,067 (25.02%)	104 / 1,067 (9.75%)	0		add to survival plot
ENSG00000135862	LAMC1	laminin subunit gamma 1	protein_coding	15 / 969 (1.55%)	313 / 16,405	755 / 1,067 (70.76%)	12 / 1,067 (1.12%)	0		add to survival plot
ENSG00000143970	ASXL2	ASXL transcriptional regulator 2	protein_coding	15 / 969 (1.55%)	343 / 16,405	161 / 1,067 (15.09%)	140 / 1,067 (13.12%)	0	Cancer Gene Census	add to survival plot
ENSG00000154646	TMPRSS15	transmembrane serine protease 15	protein_coding	15 / 969 (1.55%)	415 / 16,405	216 / 1,067 (20.24%)	169 / 1,067 (15.84%)	0		add to survival plot
ENSG00000155085	AK9	adenylate kinase 9	protein_coding	15 / 969 (1.55%)	401 / 16,405	170 / 1,067 (15.93%)	292 / 1,067 (27.37%)	0		add to survival plot
ENSG00000131697	NPHP4	nephrocystin 4	protein_coding	15 / 969 (1.55%)	280 / 16,405	87 / 1,067 (8.15%)	326 / 1,067 (30.55%)	0		add to survival plot
ENSG00000225830	ERCC6	ERCC excision repair 6, chromatin remodeling factor	protein_coding	15 / 969 (1.55%)	415 / 16,405	150 / 1,067 (14.06%)	179 / 1,067 (16.78%)	0		add to survival plot
ENSG00000122257	RBBP6	RB binding protein 6, ubiquitin ligase	protein_coding	15 / 969 (1.55%)	377 / 16,405	483 / 1,067 (45.27%)	46 / 1,067 (4.31%)	0		add to survival plot
ENSG00000033122	LRRC7	leucine rich repeat containing 7	protein_coding	15 / 969 (1.55%)	683 / 16,405	157 / 1,067 (14.71%)	236 / 1,067 (22.12%)	0		add to survival plot
ENSG00000010327	STAB1	stabilin 1	protein_coding	15 / 969 (1.55%)	528 / 16,405	83 / 1,067 (7.78%)	278 / 1,067 (26.05%)	0		add to survival plot
ENSG00000165164	CFAP47	cilia and flagella associated protein 47	protein_coding	15 / 969 (1.55%)	606 / 16,405	0 / 1,067 (0.00%)	0 / 1,067 (0.00%)	0		add to survival plot
ENSG00000182901	RGS7	regulator of G protein signaling 7	protein_coding	15 / 969 (1.55%)	350 / 16,405	744 / 1,067 (69.73%)	29 / 1,067 (2.72%)	0	Cancer Gene Census	add to survival plot
ENSG00000197555	SIPA1L1	signal induced proliferation associated 1 like 1	protein_coding	15 / 969 (1.55%)	464 / 16,405	110 / 1,067 (10.31%)	271 / 1,067 (25.40%)	0		add to survival plot
ENSG00000117139	KDM5B	lysine demethylase 5B	protein_coding	15 / 969 (1.55%)	315 / 16,405	769 / 1,067 (72.07%)	9 / 1,067 (0.84%)	16		add to survival plot
ENSG00000112379	ARFGEF3	ARFGEF family member 3	protein_coding	15 / 969 (1.55%)	467 / 16,405	167 / 1,067 (15.65%)	256 / 1,067 (23.99%)	0		add to survival plot
ENSG00000134516	DOCK2	dedicator of cytokinesis 2	protein_coding	15 / 969 (1.55%)	678 / 16,405	194 / 1,067 (18.18%)	166 / 1,067 (15.56%)	0		add to survival plot
